,IsLuxury,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,RenovationQualityRate
5742,1,1380.15,2,2,439.64,50.0,7,80.32,4.18,90.4,6
6070,1,765.5,4,3,236.65,40.87,6,18.81,20.06,88.26,5
3188,1,1045.03,3,3,208.95,21.41,9,20.93,3.4,99.9,6
3609,1,1999.12,2,2,460.22,65.74,5,11.6,28.31,96.0,4
3329,1,1663.62,4,3,381.97,47.81,7,118.65,28.11,91.33,8
5776,0,1196.62,2,2,321.42,37.55,6,70.51,22.53,98.11,7
6206,0,550.0,1,3,830.42,7.29,7,32.71,23.89,88.59,3
1676,0,550.0,3,3,660.54,51.53,6,29.47,10.05,85.65,5
556,1,1522.53,2,2,470.29,7.08,6,28.2,11.06,93.24,2
3096,1,1307.78,3,3,755.8,5.95,10,1.72,14.04,93.84,9
1657,0,550.0,2,3,416.82,76.85,2,94.4,34.73,90.83,1
5404,1,550.0,1,3,201.96,40.06,5,44.27,14.3,95.1,3
1346,1,632.32,4,2,488.42,34.18,8,29.78,27.75,89.08,4
1844,1,925.34,3,2,1061.66,52.86,6,2.24,24.26,93.22,7
5174,1,1410.59,3,4,972.62,51.57,8,81.17,24.54,99.9,5
657,0,1118.5,1,1,797.38,11.84,8,61.14,7.53,88.99,2
1106,1,960.99,3,2,841.25,16.49,5,115.0,42.77,90.4,6
6838,0,826.42,3,3,549.53,39.7,5,87.64,16.22,89.16,2
2572,1,855.57,2,4,628.18,20.32,7,90.0,15.39,99.9,5
4378,1,550.0,3,3,63.29,32.82,8,60.01,5.14,92.12,5
1070,0,1428.66,2,4,329.34,47.37,6,8.01,19.43,99.9,6
5841,0,1310.42,1,4,682.27,44.41,10,69.14,20.26,99.9,4
5511,0,550.0,2,3,510.17,42.66,5,20.18,23.83,88.36,5
1494,1,894.63,4,4,980.29,28.61,8,34.16,14.92,99.08,8
2886,1,746.96,3,2,335.93,26.65,3,17.1,5.4,87.14,3
6162,1,2015.84,2,5,1027.66,19.79,10,68.99,17.19,95.09,6
2476,0,864.67,4,2,893.85,50.87,6,40.38,18.33,99.9,4
2838,0,811.98,2,1,322.37,57.14,3,96.55,43.08,88.89,3
5847,0,873.82,1,3,273.01,23.6,6,0.51,2.14,85.93,6
4481,0,1160.18,1,2,397.18,31.83,5,68.72,49.47,93.25,4
4160,0,550.0,3,2,809.64,33.09,6,40.11,44.1,99.9,5
4316,0,550.0,1,1,88.46,39.1,3,37.71,37.43,85.48,3
4029,1,550.0,1,4,578.04,34.49,4,1.75,16.18,96.06,4
6752,0,550.0,1,3,458.54,9.9,9,69.79,23.34,95.24,7
219,1,1761.18,3,5,48.26,15.11,8,46.07,7.59,87.61,6
6665,0,754.7,2,1,411.51,20.47,7,24.71,3.09,89.98,4
3247,1,897.54,4,5,1032.54,7.54,9,38.12,12.48,92.93,7
5205,0,855.93,3,1,946.67,34.96,5,42.11,41.26,97.47,4
1897,0,630.08,1,4,442.2,36.62,7,70.04,32.31,88.19,7
5338,0,1505.2,3,3,272.18,28.07,8,33.34,6.42,95.75,8
3705,0,1028.21,3,2,513.63,28.05,7,29.88,38.12,96.3,2
3934,1,1206.11,1,3,433.88,40.39,8,35.12,8.83,94.14,4
2187,0,1160.99,3,4,436.24,38.53,6,6.27,2.08,99.9,6
4446,1,767.17,2,3,398.64,34.73,6,21.4,6.3,97.08,6
3753,1,663.07,3,4,484.75,2.37,6,11.6,21.14,92.75,4
6926,1,1695.37,2,5,599.6,62.82,10,17.73,3.74,94.01,7
1094,1,2090.48,1,4,769.54,11.08,10,9.86,7.27,98.0,4
6663,0,550.0,1,1,695.03,19.96,4,31.79,8.63,99.9,2
5316,1,553.7,4,5,665.91,1.15,8,17.47,17.55,94.91,5
2517,0,550.0,1,3,293.15,22.66,7,94.31,42.5,92.68,6
4066,0,1159.75,3,3,718.75,10.65,8,48.89,1.14,97.28,5
4958,1,1343.68,3,4,875.41,41.84,5,6.12,36.2,85.17,4
4814,1,1485.34,4,3,383.98,67.23,8,70.23,0.04,95.14,6
2570,1,1491.94,3,2,417.7,52.34,6,31.86,37.18,86.79,5
3189,0,1384.41,2,2,805.9,36.27,9,106.78,2.11,96.74,5
440,1,1619.61,3,2,525.23,34.42,10,13.99,36.61,98.96,9
3256,1,1035.96,2,5,517.48,25.97,9,43.08,25.14,96.43,5
3499,1,978.14,2,4,909.83,14.87,2,24.74,7.71,99.9,5
6200,1,1017.85,2,3,553.96,29.37,7,63.8,11.84,93.79,3
5079,1,1269.2,3,5,109.88,30.19,6,2.35,8.85,96.06,7
4388,1,911.63,3,3,333.46,15.53,10,15.66,15.63,99.9,7
46,1,979.4,1,4,651.09,76.65,7,24.69,16.67,93.44,6
6130,1,1487.0,3,3,889.76,11.54,8,14.55,40.79,85.75,9
3281,0,1434.32,1,3,561.62,20.2,7,32.5,1.36,90.18,2
2230,1,550.0,5,1,565.61,0.54,8,19.29,5.05,99.9,7
4574,1,673.6,1,3,716.87,45.2,4,41.93,21.32,92.12,3
3364,0,644.91,1,1,157.42,4.74,5,38.89,26.5,96.5,1
5768,1,907.07,4,3,475.13,1.62,10,75.66,16.14,99.34,7
974,0,1183.87,1,5,500.16,38.03,9,9.48,8.21,90.17,7
273,1,807.07,3,2,445.1,0.3,5,59.04,30.26,86.31,2
4633,1,1307.6,3,3,718.87,23.52,8,73.47,1.89,91.21,6
5748,0,917.42,2,2,515.4,44.48,8,27.27,0.87,98.65,7
3833,1,1269.91,2,4,799.79,17.36,7,6.68,19.32,90.07,4
429,1,822.24,1,4,967.04,51.71,4,66.18,17.17,96.51,6
4571,1,1457.94,2,2,30.7,60.65,5,49.68,20.53,93.47,6
5041,0,941.5,1,3,530.29,45.58,7,26.1,14.93,97.66,6
2933,1,932.28,1,4,432.85,42.17,4,125.96,7.04,90.84,7
5377,0,550.0,2,3,536.78,23.87,6,23.97,32.78,99.06,3
3900,1,801.85,3,3,621.36,47.83,7,56.13,16.32,93.34,8
2746,1,1471.13,2,4,516.65,27.6,10,26.46,6.22,89.99,6
4096,0,550.0,2,3,599.17,19.77,7,8.88,6.23,99.39,3
2233,0,1290.82,2,2,125.72,38.12,7,75.24,13.88,90.09,5
4535,1,623.38,3,2,633.51,23.81,8,85.21,21.39,89.29,5
3557,0,1197.67,1,4,392.26,33.34,7,8.31,20.22,99.56,7
1219,0,550.0,2,3,1032.22,1.51,7,41.09,28.83,94.62,3
3721,1,767.32,1,4,959.68,18.66,8,33.42,14.04,99.9,6
5787,1,1097.56,2,4,272.05,28.62,6,116.87,13.14,99.9,7
5537,0,1647.35,1,2,432.94,30.26,5,35.04,15.92,90.33,4
1883,1,1965.06,3,4,438.83,14.38,7,120.75,3.47,93.05,4
1294,1,598.26,1,5,303.09,26.02,5,67.8,17.57,90.9,4
6943,1,1647.02,3,3,416.46,9.74,8,8.19,13.21,97.08,8
3050,0,550.0,1,3,386.65,30.29,6,72.37,7.23,89.08,2
5680,1,1173.15,2,4,425.96,34.46,7,56.57,6.03,89.74,2
1506,0,993.91,1,3,489.9,7.91,3,1.62,29.1,92.23,2
3890,0,1325.44,1,2,103.62,38.13,4,54.77,20.97,96.27,3
3642,1,1295.36,1,2,46.4,44.02,4,106.99,16.08,96.13,5
5115,1,1335.51,3,2,600.96,62.9,6,6.44,8.84,90.8,5
53,1,550.0,1,3,746.43,46.2,7,113.42,0.72,90.73,4
1961,1,1003.46,1,4,307.94,22.64,7,55.32,7.32,90.16,5
3097,0,1051.16,1,4,98.68,30.04,9,76.48,36.41,89.29,7
6784,1,980.67,3,4,301.67,0.73,10,11.19,21.57,99.9,5
3568,0,645.62,1,3,451.04,21.4,7,42.16,52.21,98.46,5
189,0,671.09,2,3,1075.03,44.77,6,46.21,19.07,98.68,3
4707,1,1256.23,2,5,9.5,59.45,9,33.06,6.6,91.82,8
3788,1,1197.95,1,4,424.29,2.54,8,39.78,0.78,88.94,5
1884,1,1086.8,1,4,22.8,37.82,10,21.41,9.79,88.0,7
5457,0,1941.73,1,2,243.56,23.16,6,22.93,26.37,98.23,4
4869,1,1134.09,4,4,313.09,48.32,9,80.35,19.63,93.26,5
3295,1,1615.39,3,4,457.9,49.62,5,33.53,12.25,90.09,4
1489,0,791.03,2,3,649.05,40.72,4,88.7,21.76,99.9,1
792,0,1154.48,2,3,736.5,4.36,10,30.22,9.97,98.1,6
6622,1,579.17,2,3,414.2,35.56,8,33.84,39.41,99.9,8
5175,1,1666.43,3,4,702.82,36.29,5,6.75,3.74,82.82,7
4130,0,819.71,3,2,598.22,1.17,9,18.64,14.44,97.04,6
443,1,864.89,1,4,161.5,52.18,8,70.94,30.05,97.78,3
5533,0,733.56,1,1,510.23,38.18,6,45.71,21.94,86.38,2
6612,1,1331.5,4,2,355.76,41.94,6,0.47,15.92,91.76,7
955,0,1538.64,3,2,855.67,56.65,6,69.81,9.83,80.96,7
5638,0,1510.98,4,2,440.43,24.34,9,20.07,25.71,86.48,6
2505,1,1554.09,3,4,120.13,23.59,7,25.24,5.5,93.81,8
687,0,550.0,1,3,249.68,39.55,10,7.73,24.14,99.9,6
119,0,762.27,2,3,545.06,27.68,5,60.25,20.37,86.13,3
6351,1,1591.28,1,4,385.6,4.39,8,0.99,5.44,98.32,7
1226,1,603.82,2,3,431.28,40.73,6,78.05,1.74,99.9,7
4609,1,550.0,3,4,56.44,11.19,10,28.94,1.58,91.98,9
597,0,1307.13,1,3,912.24,20.24,8,25.13,28.09,97.55,6
3688,0,561.54,4,2,573.31,56.63,7,125.84,33.07,97.38,6
6637,1,886.39,3,2,485.42,22.84,8,3.81,23.14,99.9,7
3344,1,550.0,3,4,897.81,23.43,7,11.96,18.39,94.32,5
4801,1,996.24,1,3,117.07,27.0,6,38.86,13.49,85.4,1
1535,1,754.89,3,3,552.49,14.42,7,49.98,27.06,97.77,5
2828,1,1383.97,1,4,392.49,25.34,10,39.92,8.43,94.59,9
2416,0,621.77,2,3,414.8,63.54,5,81.6,33.91,88.38,4
621,0,958.81,1,2,912.69,32.08,6,37.9,12.61,83.23,4
5821,1,1183.37,2,3,512.16,3.98,8,74.31,16.4,97.58,5
5464,0,550.0,1,1,398.21,18.23,6,4.3,0.98,99.2,4
1084,0,550.0,1,3,371.01,46.49,5,116.36,43.17,99.9,4
4482,0,1341.95,2,5,563.23,20.14,10,3.43,10.24,98.17,7
5770,0,696.6,2,4,494.14,22.01,9,17.56,42.67,96.9,7
4582,1,1371.17,1,2,539.34,33.51,6,71.63,2.95,95.12,5
5740,1,1913.1,2,4,529.67,42.71,9,54.32,11.06,96.54,9
3907,1,1206.92,1,3,375.51,55.98,6,74.22,30.96,95.25,5
5712,1,946.91,3,3,466.77,4.88,5,63.85,22.63,84.56,3
2068,1,1169.09,4,3,688.39,54.04,8,82.66,9.28,87.71,4
6402,0,1442.29,1,3,549.36,9.6,6,93.97,6.74,92.4,4
1012,1,924.0,2,4,540.95,41.77,8,14.0,36.37,88.68,6
4996,1,1484.71,3,3,717.94,31.7,7,15.61,25.33,92.7,4
5275,0,2166.0,2,3,861.6,53.96,10,3.33,26.72,96.53,8
6879,0,550.0,1,3,610.78,36.83,8,57.32,20.71,93.03,3
4090,1,1432.31,3,4,457.25,13.05,10,0.16,24.35,96.61,6
3829,1,2099.87,3,3,185.09,50.72,8,34.44,4.59,95.17,3
5363,0,956.85,1,2,517.38,8.61,6,75.24,6.85,97.72,8
2014,1,1257.36,3,4,563.09,29.4,8,0.43,36.69,96.26,7
4271,1,1622.22,3,4,116.78,55.16,9,24.19,21.92,99.31,9
1179,1,965.33,1,3,167.4,81.77,8,20.43,0.97,88.97,7
451,1,1842.17,3,4,630.94,56.05,10,19.25,13.22,94.19,6
3513,0,550.0,2,3,558.05,33.01,4,80.32,16.16,94.4,3
5177,1,1004.33,2,4,383.41,29.1,8,73.32,21.65,99.9,6
837,0,550.0,4,3,362.83,7.87,9,12.4,28.47,88.43,7
4952,1,954.8,1,1,637.42,5.65,7,60.92,17.89,99.21,5
2424,0,1107.54,1,1,645.26,10.61,5,82.1,14.18,89.27,1
552,1,1221.08,1,4,866.35,8.31,5,13.18,8.4,92.22,5
4017,1,1586.68,3,4,85.87,0.37,8,65.97,4.49,92.07,7
6383,1,1442.25,3,3,564.09,10.33,7,35.52,22.0,92.45,6
978,0,857.2,2,3,556.04,1.5,9,48.03,32.98,85.92,4
517,0,638.75,1,3,416.38,4.71,2,9.18,4.01,97.39,4
4740,0,858.81,3,3,567.14,29.75,6,25.04,28.27,93.51,6
6567,0,1117.45,1,3,85.43,0.62,6,24.14,20.2,91.99,4
693,0,1155.22,1,2,484.34,25.07,7,39.91,6.17,89.42,5
4364,0,1068.57,2,3,310.47,17.17,8,32.5,15.93,94.22,7
4618,0,917.84,1,3,958.22,41.45,7,13.76,18.57,99.9,2
1941,0,550.0,2,2,673.43,63.37,5,10.68,16.98,85.08,3
3601,1,1357.84,1,3,784.37,47.18,7,4.97,19.04,96.29,8
4807,0,1594.79,3,3,423.56,36.53,7,44.55,4.78,96.85,7
2108,1,1234.68,3,4,339.68,38.87,9,48.42,18.73,97.23,6
339,1,990.36,2,3,270.8,19.87,5,38.09,2.07,99.13,4
2801,0,550.0,1,3,193.11,42.44,7,47.25,25.01,99.9,3
3064,0,1027.03,2,3,50.57,19.8,4,21.5,31.48,99.9,8
923,1,1259.29,4,5,502.8,29.5,10,0.54,15.3,93.28,9
804,0,1313.83,2,4,607.12,44.94,5,58.41,15.0,99.17,6
3290,1,759.22,2,2,507.23,0.14,7,33.25,26.94,99.9,5
2769,0,839.39,1,3,426.97,25.97,6,67.81,28.17,94.49,4
3732,1,1707.24,3,2,1155.6,70.95,5,33.05,15.48,94.21,6
3089,0,550.0,3,2,174.87,34.25,8,52.45,5.62,94.87,9
5796,0,1253.92,1,2,254.82,29.29,6,1.66,4.34,97.7,5
3747,0,1105.77,2,2,64.51,50.8,6,0.51,22.49,99.9,1
1584,1,1295.0,1,2,369.44,42.76,6,1.49,40.38,93.77,6
4739,1,1451.42,3,2,414.73,50.98,6,7.24,14.36,87.79,3
1194,1,1834.29,1,4,599.69,21.92,7,64.88,26.31,86.8,5
6110,0,550.0,1,2,686.21,43.98,4,79.86,39.97,88.84,3
3587,1,1220.89,2,4,285.83,33.93,5,9.94,13.59,93.85,3
783,1,2282.45,2,5,390.68,47.23,8,55.99,30.9,92.0,7
5184,0,793.35,1,1,765.13,34.88,7,59.11,18.17,96.45,6
4112,1,878.71,3,5,1061.87,38.27,9,9.59,11.06,89.78,8
3485,0,902.42,1,5,59.04,28.28,9,15.21,23.94,95.48,10
5990,1,550.0,3,4,510.13,36.6,6,82.75,17.58,97.2,5
3074,0,1190.2,2,3,670.03,29.32,6,59.45,5.15,87.59,7
3126,1,1297.08,1,5,761.2,58.74,8,13.67,37.69,89.6,5
6539,0,923.61,3,4,436.96,37.14,10,54.09,3.43,94.05,6
1964,0,556.89,1,2,715.67,12.97,6,36.6,8.29,89.99,3
1118,1,839.02,4,3,646.01,11.48,7,5.31,3.56,93.18,5
5118,1,939.55,3,3,193.94,1.7,9,2.83,30.97,93.92,9
3061,1,837.79,4,2,745.25,31.19,4,57.67,27.11,91.7,5
270,0,1113.4,1,3,479.39,30.42,6,6.75,25.91,97.69,4
3193,1,1524.6,3,3,692.77,22.52,10,7.79,5.09,89.33,8
6378,1,1443.7,1,4,193.93,24.69,7,67.64,0.93,91.46,3
4845,0,705.09,1,2,50.75,43.91,7,9.54,19.27,93.73,6
3758,0,550.0,2,3,9.28,2.23,9,99.46,19.89,99.9,4
4452,1,1199.42,3,4,752.48,63.52,7,111.68,0.39,91.47,10
2418,0,1354.92,3,2,809.67,22.32,5,34.37,4.67,95.18,5
4007,0,802.49,3,4,538.41,1.81,10,56.03,12.01,99.9,7
1026,0,550.0,3,2,459.52,40.7,7,81.78,3.02,95.76,6
3837,1,988.76,2,3,1313.59,20.57,5,81.04,29.03,99.9,6
1373,0,990.97,1,3,209.96,62.61,4,83.92,22.58,87.71,5
1895,1,1403.27,1,1,97.43,8.96,6,8.67,11.59,88.55,6
2073,1,1686.78,3,3,321.81,16.01,7,99.59,10.52,93.32,5
4792,0,795.56,1,2,18.23,29.24,9,45.73,15.95,95.2,5
4935,0,835.59,1,1,364.12,13.86,7,30.44,32.87,95.52,5
4391,0,550.0,2,2,125.81,40.41,4,75.29,38.35,82.58,2
4231,1,1337.64,4,5,232.02,45.72,10,2.46,5.55,99.9,8
5350,1,760.96,3,3,416.3,28.32,5,29.15,0.7,94.33,5
3938,1,2004.49,2,3,907.72,8.34,9,32.23,11.62,92.35,10
3000,0,793.64,1,3,183.3,2.97,7,96.62,15.42,84.6,2
3389,1,1638.91,1,4,831.23,9.47,8,69.93,17.6,99.9,4
3006,1,1215.43,2,5,114.55,25.14,9,33.75,12.0,92.57,5
2756,1,1652.65,3,3,876.22,55.78,8,80.3,1.24,80.61,6
4416,1,1220.09,4,3,892.81,4.93,9,10.92,14.74,90.46,8
3512,0,1215.85,1,3,608.76,27.22,7,93.0,28.06,91.84,6
1911,0,984.1,1,2,361.65,33.83,4,35.47,24.7,95.26,2
3265,1,1004.32,1,4,760.44,42.14,5,16.48,2.72,88.95,3
1603,0,550.0,1,3,688.12,27.67,8,13.27,39.64,95.8,5
3664,0,550.0,2,2,733.44,77.31,6,54.34,33.38,99.13,5
3033,1,1375.85,1,4,586.85,25.38,8,60.77,2.98,92.71,5
3235,1,1037.71,1,4,395.12,26.89,8,8.52,34.18,95.86,4
2563,0,550.0,2,1,960.96,46.99,3,81.66,32.42,92.64,3
4225,1,1875.77,1,4,300.89,31.67,7,39.17,1.02,97.53,6
4299,0,550.0,1,3,187.18,31.03,3,5.15,20.36,99.9,5
3857,0,714.24,2,2,12.89,44.84,5,85.2,24.39,99.1,1
6953,0,550.0,3,4,86.82,14.42,8,41.58,10.21,87.53,5
6293,0,919.36,3,2,584.2,7.15,5,23.44,2.48,91.28,6
1462,0,550.0,2,3,367.33,39.13,4,130.9,19.25,93.81,4
2850,1,1352.22,3,4,180.84,0.63,10,91.29,15.8,99.7,7
422,0,1420.25,3,2,513.57,21.61,7,60.63,1.13,93.24,5
5419,0,915.44,2,3,251.03,17.28,7,23.57,18.69,94.19,3
5133,0,1793.47,1,2,373.72,28.07,7,54.74,11.32,93.52,7
6805,0,1126.79,3,4,357.44,74.35,8,13.98,27.98,97.86,2
2690,0,1173.33,1,2,528.74,9.73,6,22.25,3.03,89.81,4
1446,0,1196.63,2,3,609.7,31.65,7,21.38,20.32,99.9,6
1316,0,834.38,5,3,1248.14,29.08,7,61.38,23.95,86.77,7
4197,1,1358.27,2,3,279.96,24.99,9,74.8,33.43,86.09,6
4703,0,550.0,1,2,1089.85,50.56,2,84.97,3.25,88.74,2
4835,1,1212.0,3,2,152.59,63.58,7,54.24,35.39,89.25,5
2837,1,1312.27,4,2,683.85,28.05,6,86.38,3.18,95.61,5
5228,0,1063.29,1,2,571.23,30.13,5,61.52,11.37,97.04,3
5864,1,1421.91,2,2,993.73,42.89,5,2.3,26.02,87.13,5
5925,0,883.04,2,3,259.69,3.7,7,19.15,9.32,96.06,3
652,1,861.54,1,2,323.51,42.74,6,33.77,47.5,88.39,4
5661,1,723.81,2,5,240.35,39.84,10,58.92,14.58,95.86,5
2523,0,550.0,1,2,176.41,43.13,7,42.89,30.68,93.5,2
2254,0,868.81,3,2,191.56,31.67,8,41.32,13.12,86.79,2
5217,1,1169.91,1,5,608.68,9.1,10,54.9,1.3,89.71,4
2707,0,698.85,3,4,442.14,58.23,7,54.88,23.78,92.62,7
2906,0,1126.81,2,2,572.81,8.75,5,116.33,1.9,88.63,2
3821,1,1350.74,3,1,349.71,11.22,7,65.13,38.48,99.9,5
1511,0,993.75,1,3,608.05,46.55,9,43.96,12.34,99.9,7
4256,0,1434.69,1,3,566.34,54.15,6,13.7,19.45,87.99,4
5582,1,1077.31,1,3,341.77,36.39,8,43.83,37.29,93.08,2
1807,0,1204.82,1,3,124.28,33.08,7,78.27,21.04,99.73,5
627,1,761.51,2,4,612.64,36.04,5,11.8,6.25,81.41,5
1115,0,550.0,1,3,76.17,39.31,5,94.45,30.63,89.95,2
4151,0,843.94,3,2,687.64,0.18,9,69.9,14.57,96.94,3
5746,1,1327.95,4,4,1003.32,10.3,10,38.84,2.22,99.9,10
5336,1,1617.38,1,2,499.12,77.41,3,17.79,8.47,91.88,4
6291,1,903.05,2,3,631.11,13.26,5,42.27,41.51,95.66,6
963,0,1177.13,1,3,282.06,59.04,8,17.52,24.51,99.16,5
3777,1,1421.46,4,3,87.38,14.46,7,61.86,33.12,96.1,6
3895,0,1173.75,1,2,517.21,39.3,7,55.1,27.23,94.07,3
1687,1,550.0,4,5,261.13,38.17,8,49.37,7.88,95.09,5
5713,1,1501.99,2,3,386.3,38.35,8,22.83,29.55,89.41,7
418,1,812.15,4,4,599.29,16.87,9,29.67,14.0,88.33,7
3347,0,1408.19,1,2,559.88,17.19,6,35.65,5.99,87.61,4
1400,1,684.47,3,3,801.58,12.23,9,26.23,28.47,94.7,5
5526,0,550.0,2,3,113.65,35.26,6,7.66,14.02,88.03,5
1401,0,588.48,4,2,319.66,26.67,4,55.35,32.6,93.13,3
1173,1,1047.86,2,4,905.7,29.59,10,12.44,4.61,99.9,8
6656,1,1043.59,1,4,708.55,40.54,3,85.13,12.28,89.53,5
1150,0,1067.85,1,2,429.77,19.06,5,30.9,5.59,95.51,6
172,0,550.0,1,3,192.6,34.62,6,86.63,48.12,99.29,3
4908,0,911.36,2,3,916.49,41.82,6,40.53,26.32,96.68,6
1244,0,1256.37,2,1,659.19,26.85,3,85.62,32.84,88.46,3
6609,1,903.0,2,4,968.45,59.96,5,109.31,20.93,95.21,7
732,1,1444.86,2,2,733.19,2.48,6,22.43,32.8,99.9,3
6047,1,1346.71,3,3,560.78,11.32,10,65.61,16.84,91.83,6
6121,0,1821.56,2,3,478.89,41.12,9,38.08,2.02,93.86,7
1009,1,1091.16,2,4,989.68,30.23,10,25.58,1.73,99.9,8
5170,0,550.0,3,5,1158.94,43.36,8,59.34,20.2,94.72,5
5352,1,550.0,3,5,338.63,14.47,7,16.18,4.39,98.58,4
4686,1,1111.9,2,2,641.02,13.68,5,10.92,0.12,95.18,8
1162,1,1309.07,2,3,814.98,50.91,5,48.85,11.01,89.09,2
1562,0,550.0,1,3,385.1,30.07,6,103.12,2.96,86.17,3
2365,1,1704.13,1,3,458.03,35.75,8,60.96,4.69,95.19,4
6246,0,758.94,4,2,313.79,4.43,7,69.07,11.41,93.37,4
5544,0,550.0,3,3,557.79,62.83,6,60.27,39.71,91.16,3
3822,0,559.1,1,1,529.5,30.82,5,57.1,6.33,87.14,1
2716,0,902.24,2,4,350.81,43.67,7,42.79,12.37,92.75,5
5934,0,1152.41,3,1,676.01,33.51,7,78.97,35.07,94.89,3
271,1,593.3,3,4,757.83,29.29,8,36.45,11.09,91.46,3
1752,0,550.0,1,2,574.6,30.23,4,65.4,9.5,89.82,2
4359,0,1520.84,1,2,69.47,32.04,6,47.77,28.71,91.21,3
2197,0,1815.46,1,2,771.53,19.91,5,27.17,29.64,89.83,4
1218,0,1177.71,1,1,328.97,15.24,4,49.3,16.59,84.73,1
1121,0,550.0,1,3,1004.72,31.04,7,59.59,5.88,90.17,3
252,1,1146.53,2,4,493.91,32.84,9,38.74,11.25,92.68,8
4289,1,1113.87,4,5,454.43,36.02,6,77.3,0.82,94.65,4
3151,1,1789.18,5,3,1146.37,23.52,6,104.26,20.6,96.63,6
6313,0,550.0,1,2,158.6,52.1,4,2.07,4.46,89.18,2
1208,0,550.0,2,3,550.0,12.75,6,19.46,7.21,96.15,2
4418,1,1614.62,3,3,450.9,44.33,6,51.83,18.55,92.28,5
4586,0,926.68,1,1,358.07,12.14,3,9.61,12.01,93.28,4
893,0,817.57,1,3,567.89,69.3,6,129.23,19.82,84.81,2
3978,1,1262.34,1,5,211.07,55.69,5,10.49,11.98,99.9,6
1818,1,608.48,1,3,49.89,49.6,4,46.42,11.72,90.44,3
6733,1,1458.8,2,3,38.4,45.51,7,3.86,7.15,91.62,5
2781,0,955.54,1,3,499.79,30.07,5,10.83,12.74,88.35,4
4233,1,1924.5,5,3,427.88,5.92,9,0.32,31.24,98.73,9
6653,0,1722.21,1,3,397.88,47.86,10,24.29,8.57,99.9,7
3462,0,601.34,2,3,918.91,57.11,7,66.24,30.2,91.39,7
5024,1,1404.65,4,4,826.77,49.69,7,28.46,8.03,94.75,6
4397,0,550.0,2,3,315.86,36.12,5,80.47,8.06,95.96,5
3234,0,1294.79,1,4,622.3,44.34,10,1.96,0.18,93.82,4
4408,0,1038.6,3,2,773.0,45.01,5,40.42,31.22,86.02,4
3067,0,1226.32,1,5,837.38,64.08,8,15.01,17.53,87.97,4
817,1,1819.02,1,3,531.05,37.73,7,103.39,20.78,98.32,5
2757,0,550.0,2,3,422.57,31.04,8,70.56,17.48,92.86,5
1958,0,1002.01,2,4,755.42,19.42,6,60.79,5.38,95.83,2
6320,1,1292.55,4,3,692.31,24.5,8,16.89,1.19,92.77,6
2278,1,1154.18,2,3,502.4,24.28,9,37.55,8.15,91.47,6
2405,0,757.46,3,2,635.6,39.19,6,49.05,6.4,98.07,6
6783,1,1291.36,2,4,614.33,9.42,10,47.06,19.36,98.41,8
5036,0,1030.2,1,2,820.95,40.06,6,39.24,18.71,92.13,3
5949,0,550.0,1,3,576.18,50.25,6,1.6,18.78,91.75,1
6032,1,1080.31,1,3,464.72,27.55,4,56.0,12.51,95.96,3
4293,0,812.79,3,4,548.93,2.81,6,19.15,6.9,99.9,5
1044,1,1027.19,4,3,34.8,55.38,9,126.28,9.04,99.01,5
2896,1,859.22,3,4,933.22,32.85,7,28.73,0.68,98.04,7
5359,1,1158.81,1,5,367.32,55.44,8,89.44,1.83,97.35,5
2571,0,550.0,2,4,2.21,35.82,7,49.04,35.06,99.9,3
4753,0,620.25,3,3,387.32,5.02,8,9.51,20.1,92.78,4
2524,1,1392.18,1,4,608.2,52.33,9,4.04,1.95,89.92,6
3258,1,550.0,1,5,1040.32,45.06,9,50.46,29.38,98.93,7
6455,1,746.67,2,4,834.86,10.4,7,56.9,12.47,99.9,5
5784,0,683.26,1,2,584.54,37.97,5,61.99,8.29,91.95,2
5145,1,1487.28,1,3,160.18,15.28,7,64.99,9.46,95.94,6
3157,1,1242.76,3,5,351.61,70.57,7,36.03,26.88,87.91,5
3027,1,1090.36,3,4,178.33,10.7,9,15.44,11.13,92.35,3
4893,1,797.2,2,4,548.33,2.99,8,31.22,19.53,91.46,7
4757,1,1299.92,3,3,344.43,4.53,10,46.94,8.29,99.9,8
2116,0,936.93,1,3,664.37,50.51,7,94.89,4.26,95.47,4
2060,1,831.6,4,4,721.34,58.13,5,16.1,8.93,87.75,5
5021,0,550.0,3,3,675.95,33.55,10,81.02,44.36,95.3,7
3553,1,1519.25,1,3,502.67,45.85,7,75.78,12.03,95.02,6
4442,1,1198.31,2,2,747.07,41.41,8,96.25,29.13,92.78,6
2486,0,1052.32,1,2,590.87,28.25,6,71.14,2.73,87.37,4
6631,1,1360.67,2,4,941.43,17.12,7,3.16,5.15,98.74,5
3490,1,1041.4,3,3,54.97,80.06,8,67.24,36.56,99.9,3
2713,1,870.2,1,3,287.22,37.28,6,104.82,25.96,92.34,7
5721,1,741.18,2,4,235.79,30.89,6,63.8,53.22,87.77,2
3656,0,663.23,3,3,133.15,0.32,8,9.44,19.92,98.82,6
3967,0,1266.2,2,2,504.35,7.87,6,35.1,1.06,93.01,4
5649,0,550.0,2,3,210.65,53.64,6,58.79,36.66,87.7,4
386,1,1689.85,4,3,194.47,38.78,9,83.27,5.49,99.49,8
