,Price,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,PreviousSalePrice
1094,483449.2151,2090.48,1,769.54,11.08,9.86,7.27,98.0,0.73,575488.8103
1096,397803.9845,550.0,3,225.35,53.2,49.85,43.13,89.21,1.57,412661.186
1097,271883.4021,550.0,1,116.43,9.97,34.9,7.69,96.68,1.7,162823.5977
1098,470275.8625,1497.53,3,340.43,12.6,102.68,14.48,99.9,0.92,305355.4116
1099,136396.0182,992.02,1,703.47,23.18,50.96,18.7,96.88,2.72,112762.2769
1100,92151.74651,564.44,2,667.33,39.66,7.11,10.09,87.27,1.76,8919.858238
1101,272444.5384,836.62,2,555.84,7.86,62.4,32.78,90.35,1.57,189315.0762
1102,189257.8577,717.52,1,706.84,3.49,30.85,6.98,84.54,2.15,169868.8019
1103,323252.7729,632.87,1,366.7,40.08,10.57,39.98,86.55,1.76,254931.8567
1104,480474.4537,1320.57,2,916.17,28.32,90.86,12.79,90.49,2.31,363994.8413
1105,234034.0348,1251.87,3,1153.38,27.86,139.4,7.11,93.9,1.29,265740.0434
1106,324412.5087,960.99,3,841.25,16.49,115.0,42.77,90.4,1.95,302142.1023
1107,349919.6373,1545.95,2,573.53,35.09,66.75,10.25,94.91,1.9,478298.7798
1108,378924.1605,1237.47,1,70.59,55.38,105.76,35.18,95.78,1.03,241281.0325
1109,353661.9706,753.57,2,111.24,9.15,111.44,35.04,99.75,1.18,412934.0832
1111,157979.5478,550.0,2,466.2,56.43,2.75,28.01,94.81,1.68,99564.52638
1112,98235.07669,1033.23,1,488.34,78.47,30.72,34.02,85.6,1.08,12940.65675
1113,367459.4312,582.18,3,462.19,22.1,41.66,33.05,91.72,0.91,285069.6716
1114,657864.6024,1262.26,3,393.63,22.68,0.51,4.53,99.9,1.29,519032.7393
1115,126945.9536,550.0,1,76.17,39.31,94.45,30.63,89.95,1.99,19588.73288
1116,291340.4072,1324.76,2,591.56,0.53,40.36,28.77,95.09,1.1,291692.4095
1117,322496.1499,891.59,2,213.04,0.3,8.43,11.99,99.9,1.25,310526.8495
1118,548884.3065,839.02,4,646.01,11.48,5.31,3.56,93.18,0.82,474044.7664
1119,149122.5341,677.25,2,808.46,25.86,17.78,32.28,99.9,2.21,82966.5788
1120,181631.6169,550.0,3,322.83,25.89,80.67,18.43,94.06,1.35,111692.261
1121,146992.1027,550.0,1,1004.72,31.04,59.59,5.88,90.17,1.34,123472.3321
1122,706219.0713,1604.98,4,1003.18,56.09,4.37,12.33,91.02,1.62,487162.7012
1123,179465.1961,550.0,2,685.98,24.34,68.13,7.31,97.33,1.17,91189.01874
1124,459567.602,795.11,5,892.19,24.73,55.03,17.04,98.02,0.87,504373.6156
1125,193604.4884,1000.08,2,429.12,15.15,35.94,21.75,85.14,1.5,195687.9308
1126,550819.4833,976.42,5,22.64,45.98,37.52,6.72,91.57,1.39,695076.4626
1127,170595.5044,550.0,1,272.49,13.99,133.32,43.51,96.64,2.66,132745.7894
1128,445634.9722,550.0,2,573.4,32.94,46.08,12.35,92.18,1.34,320486.6545
1129,103809.7946,628.95,1,319.79,44.59,73.87,24.22,95.4,1.78,20681.45416
1130,150986.1489,550.0,1,603.45,26.64,54.07,40.13,89.58,1.79,109311.4591
1131,105444.823,755.33,1,645.2,41.03,118.89,25.81,91.78,2.14,1043.931448
1132,333004.9719,2130.05,1,839.07,26.12,49.11,30.91,99.48,2.36,425479.7531
1133,368599.2912,1075.66,2,526.25,16.71,47.39,3.14,89.93,1.45,454224.74
1134,171747.0522,550.0,4,160.54,3.1,58.61,11.33,94.97,0.72,219187.1602
1135,507058.1517,1308.37,2,422.95,3.25,66.67,18.92,86.32,1.89,464991.0505
1136,551047.2345,1507.28,3,766.22,1.82,32.77,27.53,98.84,1.75,625021.9161
1137,480959.1294,1127.34,3,695.64,31.66,53.33,2.98,99.42,1.72,433431.997
1139,659953.378,1239.61,3,318.27,35.62,4.33,6.75,99.04,1.7,515562.3516
1140,147064.2281,724.17,3,65.14,31.06,55.72,24.72,86.71,1.77,112968.0944
1141,174163.6594,767.77,1,1045.55,20.16,30.16,1.45,95.77,1.41,210389.2184
1142,200768.8166,550.0,3,323.31,32.52,25.8,4.81,86.52,1.18,367980.7315
1143,435576.1234,1580.54,2,768.23,30.45,16.64,13.95,90.72,2.07,392679.1607
1144,111848.1471,594.91,1,645.44,38.01,14.38,45.92,88.14,0.94,28701.33948
1145,350210.6549,890.03,3,620.5,50.83,82.1,33.8,94.72,1.4,356440.6443
1146,191458.4188,550.0,1,107.05,70.38,83.9,19.31,86.52,0.57,159593.6579
1147,468592.981,1412.1,2,331.92,44.88,52.27,8.39,97.78,1.75,387443.9559
1148,193324.0549,974.8,2,278.95,10.78,54.53,7.22,99.9,1.59,202602.2106
1149,263045.3486,594.6,1,207.14,34.0,114.32,39.35,89.87,1.43,188160.3585
1150,170448.1784,1067.85,1,429.77,19.06,30.9,5.59,95.51,1.68,172031.378
1151,198868.8431,683.19,1,293.02,30.63,59.58,23.7,97.63,0.49,318268.9499
1152,247865.2916,550.0,1,542.42,20.15,64.23,10.99,99.46,1.62,196930.2725
1153,232974.9339,1615.82,1,513.8,9.94,55.17,10.58,93.8,2.11,157311.2208
1154,402487.8841,1338.02,3,115.06,10.23,48.72,3.39,89.55,2.04,568308.5888
1155,398073.4053,1145.43,3,592.24,39.32,36.31,12.94,90.22,1.8,351287.7533
1156,752492.1903,1516.79,5,332.84,6.83,20.47,10.41,81.89,2.4,770226.5585
1157,232734.2708,1119.59,1,713.89,53.98,14.89,11.41,93.07,0.89,289476.7506
1158,604141.8781,1380.8,3,647.68,7.25,30.69,0.02,94.4,1.01,491504.2603
1159,611786.1264,1101.4,4,234.64,21.31,14.27,16.85,99.9,1.59,572024.6423
1160,525579.2303,1656.84,2,433.85,58.15,74.15,14.67,98.81,1.16,357762.4838
1161,334675.3086,644.63,3,26.58,68.84,54.61,39.69,99.21,1.81,352182.7238
1162,323668.3978,1309.07,2,814.98,50.91,48.85,11.01,89.09,2.05,324594.6609
1163,252379.5882,1269.27,2,249.34,32.19,57.33,28.73,92.11,2.26,254521.5076
1164,529933.9121,1532.08,3,596.12,31.49,28.65,1.1,95.02,1.38,583299.4453
1165,295980.5785,1852.27,1,329.49,25.56,7.53,27.03,91.82,2.4,321810.0561
1166,240192.4531,804.51,2,29.88,61.67,84.74,13.14,99.52,1.98,224227.6398
1167,276203.9201,1066.25,1,993.82,47.32,78.85,23.71,95.21,2.51,307351.5079
1168,392663.8886,1402.17,2,715.93,10.71,67.77,27.66,99.9,1.88,487140.8111
1169,270249.3015,820.59,1,216.74,53.91,83.11,19.81,82.46,1.22,295920.895
1170,472945.5328,1204.79,2,425.86,11.02,23.67,10.9,99.0,0.4,446929.7147
1171,372061.6469,778.36,4,774.95,54.21,40.27,2.15,99.9,0.15,593486.0153
1172,264098.3392,1356.3,2,1108.87,12.95,27.97,0.87,99.27,0.59,407323.1948
1173,277087.4016,1047.86,2,905.7,29.59,12.44,4.61,99.9,1.47,353693.53
1174,209841.1212,1019.02,2,715.25,33.37,58.16,50.13,83.17,0.83,110514.3142
1176,333044.5036,550.0,4,703.11,62.44,53.18,9.2,96.22,1.85,167895.9955
1177,376242.2191,1383.96,1,622.16,66.01,47.43,5.94,94.51,1.41,350939.3103
1179,414467.0282,965.33,1,167.4,81.77,20.43,0.97,88.97,1.58,205918.2152
1180,138516.6529,912.71,1,203.05,0.13,119.1,19.83,97.31,2.31,69504.38807
1181,156294.8951,550.0,1,205.84,81.87,66.47,36.86,89.24,1.13,89841.08722
1182,260675.9106,1116.34,2,438.81,46.07,31.53,6.66,93.63,1.73,316268.0095
1183,324655.1221,1075.51,3,243.85,22.7,44.48,0.79,96.6,1.68,196519.0927
1184,288084.4238,571.36,2,756.17,43.54,76.32,26.46,97.03,1.41,256437.8285
1185,243841.9274,614.09,1,522.41,50.68,30.04,7.57,88.72,1.66,180602.2002
1186,107694.0092,790.99,2,923.93,23.69,67.83,40.17,90.29,1.28,33453.91021
1187,324219.1165,1440.88,2,234.59,33.33,25.91,5.54,95.36,1.66,336188.9126
1188,182556.2508,679.78,2,253.64,15.43,2.43,0.68,97.09,2.15,114775.879
1189,353166.4,1600.28,1,570.58,33.28,86.67,3.35,87.81,1.65,198845.6067
1190,255664.0662,749.05,2,549.21,32.97,37.82,39.85,90.36,2.37,143465.3715
1191,306098.6227,850.46,2,12.78,11.17,51.74,8.21,84.46,0.78,402397.3956
1192,214542.4035,550.0,3,340.36,14.6,51.41,12.25,93.09,1.67,138648.2066
1193,228650.8296,713.4,2,560.47,12.85,51.37,0.31,99.9,1.17,176048.9069
1194,636408.7725,1834.29,1,599.69,21.92,64.88,26.31,86.8,1.64,366987.3434
1195,152467.1669,550.0,1,103.49,70.32,127.08,28.16,94.58,1.86,123781.0834
1196,317470.2329,1485.13,3,489.19,56.6,82.1,11.26,95.92,1.93,283754.2468
1197,447293.5671,1261.09,3,598.7,22.74,104.42,23.95,93.08,1.65,308257.1147
1198,294918.3927,813.24,1,656.34,38.29,85.1,21.86,96.81,1.77,161969.591
1199,309108.6326,851.0,2,807.35,72.9,50.86,36.47,95.92,0.49,216815.3538
1200,295492.6005,1589.14,2,59.83,78.42,35.79,0.11,99.9,1.77,422854.9797
1202,224962.3678,1340.03,1,131.12,48.45,10.64,4.08,90.19,1.52,293425.9077
1203,317104.3559,985.36,2,873.14,55.3,19.91,12.92,98.08,1.37,196533.0859
1204,152926.0367,550.0,1,492.37,37.45,53.11,11.73,87.58,1.69,59000.08929
1205,312135.2372,1019.73,1,577.71,15.02,12.29,19.41,99.9,1.85,226223.7925
1206,258971.5503,652.06,1,468.82,14.55,76.46,26.9,97.01,0.99,186561.027
1207,324848.6239,1251.03,1,532.89,38.21,75.32,30.19,91.8,1.74,197249.797
1208,123248.2187,550.0,2,550.0,12.75,19.46,7.21,96.15,1.19,26192.25949
1209,117408.8394,778.08,2,282.42,48.16,106.08,38.65,90.93,1.77,30538.79064
1210,245919.7565,1334.77,3,438.21,57.07,5.48,6.6,95.84,2.11,298354.2426
1211,434637.2054,1475.81,3,311.06,33.3,22.73,7.95,95.95,2.11,620410.1615
1212,216467.0959,1081.06,2,430.23,33.84,25.42,3.16,93.42,1.43,286535.3341
1213,750242.8919,2119.1,3,1084.11,48.07,2.68,2.47,91.78,1.88,514838.5546
1214,102550.9162,561.99,1,599.31,16.54,14.64,35.88,92.88,2.51,27083.35982
1215,304845.3009,578.1,1,570.93,54.6,67.76,26.5,99.9,1.1,212328.4525
1216,452303.4089,922.31,3,314.82,47.2,1.1,22.2,93.56,2.48,328178.1174
1217,390638.4666,1384.88,1,486.84,17.87,92.69,12.6,97.79,2.05,250688.8758
1218,204151.4319,1177.71,1,328.97,15.24,49.3,16.59,84.73,1.29,175718.3251
1219,166618.3744,550.0,2,1032.22,1.51,41.09,28.83,94.62,1.25,90666.83526
1220,143713.339,550.0,2,834.79,39.06,96.32,12.2,98.53,1.31,82118.92073
1221,344194.0908,1682.77,1,652.84,21.68,17.07,24.91,91.01,1.53,216961.8714
1222,146631.3669,550.0,2,683.12,65.12,6.01,25.26,85.94,1.11,80955.87358
1223,113969.9106,683.04,1,245.15,23.32,32.35,15.52,90.57,2.02,18105.07791
1224,185539.3918,608.71,1,448.97,23.0,73.96,1.1,83.11,2.05,126116.655
1225,355292.796,1235.19,2,647.86,5.9,37.48,27.27,95.15,1.31,213393.376
1226,411343.6274,603.82,2,431.28,40.73,78.05,1.74,99.9,0.39,276366.9937
1227,103436.2248,550.0,1,885.91,30.13,2.5,3.87,99.9,1.75,11349.47044
1228,139974.2133,574.97,1,728.27,14.94,34.67,19.46,90.29,0.61,61853.94057
1229,149706.996,550.0,1,494.49,20.81,72.23,26.47,87.61,1.95,125698.1824
1230,210617.1296,1053.75,2,357.8,30.95,105.75,22.85,96.03,1.23,200795.7525
1231,509505.0897,1670.89,4,272.95,47.21,32.07,22.69,97.78,1.7,449468.0738
1232,509865.6213,1440.64,3,813.66,13.07,37.91,23.29,99.9,0.31,760692.8731
1233,355730.1629,550.0,4,407.63,57.14,84.92,8.06,97.59,1.04,290957.5558
1234,196708.7074,1258.21,2,186.08,29.21,59.26,18.27,88.44,1.68,168180.8527
1235,336337.8924,651.31,2,1028.26,47.49,12.85,31.27,96.06,1.31,265067.8392
1236,292921.509,1361.23,2,300.72,42.52,119.18,24.28,99.9,1.52,378814.814
1237,237392.0616,993.27,2,362.75,50.7,53.42,11.41,93.34,1.57,256345.1091
1238,266370.7393,1465.27,3,106.69,63.63,54.48,1.57,88.96,2.01,339352.9934
1239,95779.76584,550.0,1,676.02,13.56,33.44,9.88,95.4,1.65,-1079.467194
1240,289207.8725,1187.73,2,162.59,20.07,44.67,11.56,95.22,1.89,481830.6955
1241,338734.8157,1152.94,3,188.76,15.84,54.0,19.73,95.2,1.56,222016.1772
1242,506332.0959,1612.72,2,1324.12,43.94,13.92,1.02,99.78,0.69,503324.3122
1243,552095.1351,1446.72,2,96.14,27.24,62.44,7.56,86.73,1.46,394956.0053
1244,107662.5961,1256.37,2,659.19,26.85,85.62,32.84,88.46,2.35,37348.57645
1245,137084.6115,576.05,1,705.36,33.8,0.2,6.39,86.57,2.08,37781.33227
1246,455248.5557,1036.36,2,155.28,23.66,9.21,7.29,90.73,1.51,327644.904
1247,507060.376,1006.33,3,120.7,35.3,17.29,11.91,91.9,0.85,420982.6881
1248,388014.5042,1774.97,3,799.75,34.45,32.31,13.06,93.99,1.39,442676.7248
1249,384728.6432,897.9,2,878.38,41.81,108.37,23.31,96.31,2.24,214567.9897
1250,485113.8642,1593.68,2,403.84,0.89,14.64,4.26,92.94,1.45,482459.2353
1251,370966.7021,1315.47,3,532.28,32.95,36.99,14.88,81.89,1.29,363874.1095
1252,498208.2619,2115.54,3,1054.76,35.47,5.16,30.55,94.48,1.73,360130.9808
1253,542943.1356,925.73,3,449.65,42.02,42.34,5.75,93.73,1.58,323914.3166
1254,265414.2368,674.01,2,838.75,31.79,0.92,24.82,97.83,1.71,239196.0641
1255,293232.5093,550.0,3,270.78,20.43,80.52,30.84,88.12,1.32,195755.208
1256,203340.639,550.0,2,389.56,15.79,71.12,44.76,97.97,1.0,195070.2972
1257,174200.3734,1180.83,1,460.01,12.76,76.84,3.22,99.9,1.78,158729.4801
1258,112350.1734,1291.47,1,428.66,31.55,119.97,33.04,81.08,1.17,27149.45537
1259,566129.1395,906.3,3,232.94,25.07,49.47,0.16,90.06,0.9,448097.1276
1260,419409.8298,1601.72,2,236.11,34.09,50.32,12.62,89.93,1.35,531206.0551
1261,216105.8736,1280.29,2,504.68,13.82,2.48,1.39,97.76,2.16,290950.0566
1262,171882.397,550.0,1,221.67,50.54,24.7,23.05,95.89,0.83,110028.6404
1263,205001.7894,550.0,3,468.29,7.65,92.63,20.29,91.38,1.21,160988.9713
1264,183397.9195,550.0,1,266.9,20.45,15.94,13.91,96.25,1.65,170968.988
1265,436083.1742,1535.24,3,228.08,8.32,32.6,0.31,99.9,1.49,454404.9824
1266,103024.6398,664.28,2,392.33,39.91,3.48,10.55,96.26,1.24,15496.4411
1267,181434.0593,550.0,1,793.43,35.85,41.49,17.35,88.73,0.9,140849.1312
1268,290249.893,1020.35,1,114.53,28.17,7.59,39.81,90.41,1.59,150647.7484
1269,390605.9215,699.29,3,319.61,41.17,2.53,28.96,98.2,1.7,344753.473
1270,220849.5079,837.24,2,159.38,57.1,66.66,11.59,85.65,2.33,118832.4867
1271,179304.2649,1073.25,1,843.34,25.57,47.62,31.67,95.85,1.43,127059.2758
1272,167472.0815,1299.69,1,424.48,23.92,43.32,24.3,90.26,1.05,109262.9466
1273,285727.0871,795.54,2,446.84,27.53,48.88,0.76,88.26,1.12,289854.3112
1274,544763.5776,1769.01,2,388.99,12.43,61.9,25.5,93.64,1.99,574193.7712
1275,486223.6836,1144.18,2,269.27,4.06,76.16,4.12,98.02,1.35,349451.0054
1276,560996.5578,1788.56,2,138.08,6.45,69.79,29.72,99.9,2.14,498430.9712
1277,119365.209,550.0,3,530.03,41.38,37.99,22.32,93.74,1.25,59111.99664
1278,249169.7703,550.0,2,417.39,35.64,50.11,25.47,97.35,1.85,200872.5606
1280,367059.5017,799.83,4,316.67,22.93,69.22,23.66,95.93,1.78,571899.8417
1281,296217.7279,550.0,3,604.56,60.97,13.04,20.98,91.48,2.1,449115.3152
1282,231338.412,890.36,2,495.31,48.44,49.25,8.52,94.99,1.27,265652.2489
1283,257544.0629,576.07,3,450.58,17.39,82.85,4.34,91.56,0.72,197836.9608
1284,111689.8093,550.0,2,20.18,27.39,46.42,29.39,97.1,1.07,13457.64432
1285,154933.1427,559.06,1,494.75,35.66,35.22,17.84,98.23,0.89,105762.5848
1286,681994.9094,1120.64,2,368.3,75.38,11.37,0.46,93.07,1.15,553544.9374
1287,437594.4926,1365.18,2,1306.51,18.31,55.42,31.81,99.36,1.22,327989.56
1288,220771.2414,1573.03,1,820.74,8.91,45.87,9.64,94.69,1.28,279996.3291
1289,565634.5769,1635.03,3,944.49,58.93,78.79,18.82,98.73,2.0,533514.3498
1290,334719.6051,1572.46,1,792.09,30.2,9.53,22.68,95.51,1.57,293968.2249
1291,371639.9016,1919.08,3,178.23,7.12,15.98,16.01,99.9,1.47,772629.8134
1292,150242.8915,592.47,3,319.47,11.41,55.66,2.16,99.9,1.65,74176.68982
1293,524598.9768,1446.86,2,608.95,55.05,11.54,7.58,93.08,1.07,551834.0434
1294,379268.1187,598.26,1,303.09,26.02,67.8,17.57,90.9,2.13,282584.1265
1295,189134.1212,837.98,1,526.94,35.55,41.77,8.11,99.9,1.35,179679.0926
1296,284055.183,1312.83,2,1178.25,15.58,47.61,18.27,94.58,1.39,334746.9435
1297,186449.6369,1443.74,2,643.82,5.5,38.0,6.66,95.61,1.39,270496.6676
1298,307857.6781,790.32,1,603.84,14.13,21.54,20.21,98.89,1.53,249974.722
1299,344545.4984,688.09,3,385.88,70.9,68.12,14.36,93.53,2.24,182279.8859
1300,525904.4053,1130.13,1,183.8,21.85,10.56,11.4,93.97,2.07,325876.0848
1301,222101.5906,1433.02,2,1066.27,45.39,61.39,4.39,89.06,2.15,98090.56106
1302,197930.0233,765.15,1,469.24,15.01,59.63,9.69,87.16,1.82,120806.3775
1303,264961.9379,558.39,3,902.12,42.23,23.59,16.34,91.38,2.33,185802.8264
1304,625386.2148,1600.25,3,589.4,24.56,47.13,22.3,88.67,1.53,616064.6859
1305,142240.2358,1041.16,1,433.62,67.75,82.52,20.81,94.16,1.2,32274.08704
1306,217570.6037,1469.13,3,477.54,34.46,20.67,19.9,96.07,1.26,246327.5648
1308,172399.9853,550.0,1,552.97,34.33,108.02,20.75,89.01,2.01,64132.908
1309,280920.0402,1368.39,2,418.29,36.67,23.91,27.49,99.46,0.3,346953.8519
1310,483683.052,550.0,3,906.71,57.87,11.52,29.19,93.72,1.04,360671.5643
1311,204192.7232,1114.19,1,533.56,18.94,49.83,28.67,94.97,2.06,223304.4713
1312,417432.9492,1339.23,3,630.25,27.85,1.48,1.72,95.77,0.53,386570.5017
1313,253944.4545,763.92,1,951.59,11.19,20.62,15.71,92.69,1.81,320731.7389
1314,409934.7182,1098.26,2,769.18,32.34,46.84,38.64,99.35,1.6,264689.0483
1315,123193.9487,550.0,2,578.73,11.14,17.17,19.79,95.16,0.87,55395.38916
1316,264808.5711,834.38,5,1248.14,29.08,61.38,23.95,86.77,1.4,523045.5219
1317,300430.7599,1459.79,4,804.58,7.1,49.96,13.46,99.9,1.24,341522.1161
1318,292428.3672,796.45,4,787.55,34.52,55.19,19.3,90.5,1.43,348154.3514
1319,509396.2491,1294.63,4,975.53,13.67,12.56,12.9,99.9,0.84,754888.9641
1320,257554.7764,550.0,2,25.58,63.9,108.67,3.53,95.43,1.09,174072.1772
1321,540968.028,1445.05,2,425.25,42.65,2.04,5.56,93.2,1.46,532217.9375
1322,310531.4984,990.0,2,804.71,50.74,24.61,31.22,94.09,1.74,308582.7063
1323,428833.192,1356.68,4,986.92,58.21,64.4,18.52,95.63,1.25,618575.7399
1324,183995.1525,1286.07,3,187.63,54.68,7.62,32.31,99.9,1.2,174273.9657
1325,354546.9918,1193.45,2,14.21,6.1,31.69,13.43,99.9,1.59,409876.887
1326,196204.535,909.16,1,841.63,14.46,81.74,12.1,99.9,1.58,114450.9894
1327,186050.0754,550.0,1,803.59,27.49,7.29,12.97,95.66,1.25,135249.7958
1328,427537.2168,899.55,1,1009.02,0.85,5.55,12.04,99.03,1.87,329549.6953
1329,229867.2818,742.01,2,307.52,49.15,27.28,31.85,91.4,1.79,200553.5542
1330,134650.013,1164.17,3,353.24,51.56,52.9,12.84,89.68,1.45,84070.6852
1331,163139.1092,550.0,2,69.63,46.8,20.23,12.4,90.6,1.71,99675.14231
1332,308897.155,1539.94,3,252.26,38.41,31.34,39.67,95.55,1.66,345875.9479
1333,150319.056,1280.56,1,672.56,47.69,91.08,9.84,86.83,1.59,128271.4952
1334,138482.0027,625.26,1,721.89,25.69,58.65,16.4,92.63,0.29,67141.30332
1335,180812.6816,968.4,2,474.64,44.0,76.54,20.49,84.46,0.95,108773.3221
1336,340568.4586,982.87,2,495.4,17.54,56.15,34.62,98.12,1.69,307436.6769
1337,352065.9162,950.65,3,606.46,42.78,38.43,11.12,85.11,1.78,256861.9169
1338,163835.2208,669.63,2,79.51,24.6,54.64,13.31,91.17,1.94,115225.9999
1339,191532.491,1159.89,1,868.14,23.36,54.88,3.98,94.85,1.45,93757.27093
1340,189138.1239,1193.66,1,725.85,22.38,51.05,9.34,99.48,1.47,132697.5984
1341,258466.8909,1036.9,2,496.63,17.3,26.95,15.39,96.85,1.26,191284.3764
1342,466401.4281,1096.07,3,432.12,32.66,23.02,35.14,80.68,1.68,544312.2516
1343,527678.7966,1789.2,4,575.16,29.46,29.52,17.44,94.66,1.46,805392.1752
1344,265594.885,550.0,1,715.85,47.83,55.92,27.33,86.66,0.77,215602.1932
1345,106382.0395,690.17,1,595.01,68.87,39.97,39.67,89.4,1.88,24488.24855
1346,251516.9781,632.32,4,488.42,34.18,29.78,27.75,89.08,1.39,192733.2759
1347,564668.1947,2194.65,2,479.92,54.6,15.09,7.48,93.26,1.09,373314.7659
1348,330214.4503,1005.66,2,331.58,24.34,15.83,19.42,90.7,1.37,278023.9361
1349,136062.8211,550.0,2,351.87,30.77,46.36,14.88,95.79,1.02,51804.53577
1350,253823.7214,1330.19,1,1112.81,28.24,53.99,8.55,99.9,0.02,333195.2274
1351,89280.14708,550.0,1,278.16,15.87,40.53,12.2,93.05,0.89,4332.825303
1352,631312.376,1811.82,2,423.66,25.14,31.67,9.98,99.06,2.13,450738.5086
1353,102571.8795,550.0,2,112.89,44.62,21.95,1.99,95.22,2.11,22.79598469
1354,451105.5525,1404.97,3,239.1,38.42,50.89,19.67,88.44,0.43,405208.6315
1355,478875.1957,1122.0,2,1008.94,25.61,22.5,38.67,94.9,1.19,481980.8367
1356,552338.3594,1226.31,3,214.73,5.54,59.93,7.63,96.42,1.21,596973.396
1357,516899.9028,1457.02,3,193.61,66.17,49.06,15.12,91.6,1.88,323044.9573
1358,525873.6076,1496.96,1,729.14,6.88,57.47,0.75,97.02,1.39,366630.5464
1359,190229.8273,550.0,1,585.06,3.85,30.59,17.19,99.66,1.43,230520.8829
1360,270876.7096,550.0,1,9.16,54.6,30.07,6.25,91.6,1.21,172761.9045
1361,245653.9598,599.1,2,40.54,44.24,91.32,6.54,91.44,1.93,170469.9525
1362,256432.41,797.3,2,793.67,27.01,0.91,7.66,94.07,0.83,340847.1655
1363,232339.2558,550.0,2,708.09,41.43,26.78,21.53,94.88,1.53,131293.0955
1364,485170.8378,1599.49,3,726.01,10.54,8.76,22.26,92.76,0.72,335733.7557
1365,251669.3432,550.0,2,242.04,55.31,49.47,16.98,90.5,1.59,151431.0376
1366,320500.8382,1301.39,4,432.03,47.65,21.04,9.37,85.3,1.05,296802.1887
1367,425157.08,1133.71,1,565.32,36.18,55.63,31.74,95.88,1.65,381966.0307
1368,464444.5259,1352.28,2,437.29,38.59,35.28,10.11,88.61,1.05,486214.0844
1369,122318.6077,550.0,1,628.14,10.55,59.46,14.52,88.53,1.24,28432.10261
1370,155604.02,550.0,1,681.04,29.12,8.82,8.57,99.15,1.44,69323.67337
1371,204157.2991,550.0,2,704.21,34.23,101.12,23.02,99.29,2.13,176297.6904
1372,180250.0277,1238.69,1,1112.74,17.08,48.1,9.79,97.92,1.71,82104.41899
1373,235053.9275,990.97,1,209.96,62.61,83.92,22.58,87.71,1.91,197311.5545
1374,309996.9726,831.96,2,489.08,21.21,9.0,0.19,90.98,2.29,257496.0954
1375,260597.4029,1108.96,1,523.92,36.58,38.87,26.65,98.25,1.36,190085.6256
1376,326809.4335,888.61,2,190.48,8.0,74.05,23.33,93.08,2.03,487784.0185
1377,380932.1843,964.37,3,750.08,24.98,15.99,21.3,96.82,1.87,237509.4955
1378,337425.7693,737.2,3,165.21,18.88,82.01,6.63,99.7,2.06,338714.3469
1379,612887.7486,1320.0,4,669.14,47.81,33.11,0.35,96.25,2.13,566943.1682
1380,278062.661,1438.77,3,176.24,24.06,3.31,21.36,93.02,1.24,390299.3172
1381,374382.3752,1059.86,1,702.92,23.53,95.11,15.28,95.77,1.27,234023.3346
1382,307325.5166,694.2,1,945.74,49.35,35.72,4.68,99.78,1.17,271988.8921
1383,454814.8805,1395.6,3,644.65,21.54,98.4,13.94,94.12,1.24,768750.4133
1384,177081.8556,1483.89,2,542.94,48.02,80.22,17.02,96.5,1.62,88884.37611
1385,666148.7699,1612.52,3,1159.82,38.87,43.81,14.01,83.17,1.54,481231.9781
1386,175046.6052,550.0,3,516.81,47.88,90.79,5.09,88.33,1.35,161310.6784
1387,254020.7906,550.0,2,948.0,16.52,59.07,26.55,99.9,0.89,299958.1156
1388,242853.308,550.0,4,154.58,41.08,27.46,1.69,85.53,1.76,174203.6892
1389,97105.98165,550.0,2,833.86,9.43,83.26,9.38,96.49,1.23,7898.485182
1390,134259.7363,550.0,2,486.54,32.23,10.28,2.39,93.11,1.49,40960.15255
1391,362897.7455,859.76,4,629.07,22.74,17.86,6.32,92.99,0.61,379208.6463
1392,394038.3909,1226.96,3,531.09,14.93,62.42,36.45,91.28,2.07,591243.0487
1393,122369.3828,1317.8,1,790.22,32.45,39.41,17.38,99.9,1.67,75071.60059
1394,245992.4681,550.0,1,845.92,24.96,47.69,25.87,90.98,1.7,161706.7611
1395,466152.7444,939.53,3,308.58,64.54,58.02,11.78,99.82,2.11,335756.4306
1396,151676.3925,550.0,2,405.75,48.02,12.9,19.32,98.28,1.25,236700.7652
1397,168141.7004,550.0,3,228.76,12.67,61.04,9.78,96.81,0.85,100101.8545
1398,305813.1243,1214.59,2,250.64,27.82,81.17,27.23,95.28,1.92,387107.4444
1399,202105.9233,550.0,1,419.73,12.48,115.89,1.56,99.9,1.39,119914.749
1400,371386.4164,684.47,3,801.58,12.23,26.23,28.47,94.7,2.03,200173.7523
1401,250967.0996,588.48,4,319.66,26.67,55.35,32.6,93.13,0.63,191352.6757
1402,129585.866,550.0,2,773.29,7.32,37.24,5.97,90.44,1.49,30111.17435
1403,153786.7746,550.32,2,833.79,29.54,24.09,9.6,99.9,1.7,58027.56097
1404,318042.4425,842.69,3,21.99,32.36,28.77,8.95,97.6,2.25,476132.221
1405,273089.5777,936.61,1,840.64,23.1,11.41,15.35,99.9,2.24,171212.7483
1406,270706.3543,1154.95,1,199.91,39.81,120.6,9.03,91.12,1.23,252769.8469
1407,237871.3158,1553.08,1,90.12,18.7,30.81,37.79,91.21,1.37,191608.6273
